result,year,genres,views,spotify_name,spotify_artist
Black Dog (song),1971,"['Hard rock', 'Blues rock']",45386,Black Dog - Remaster,Led Zeppelin
Kashmir (song),1975,"['Hard rock', 'Progressive rock']",100853,Kashmir - 2012 Remaster,Led Zeppelin
Stairway to Heaven,1971,"['Progressive rock', 'Folk rock', 'Hard rock']",286988,Stairway to Heaven - Remaster,Led Zeppelin
Immigrant Song,1970,"['Hard rock', 'Viking metal']",140858,Immigrant Song - Remaster,Led Zeppelin
You Make Me Feel Like Dancing,1976,"['Disco', 'Pop music', 'Contemporary R&B']",22651,You Make Me Feel Like Dancing,Leo Sayer
When I Need You,1977,['Soft rock'],33965,When I Need You,Leo Sayer
A Song for You,1970,['Vocal music'],105649,A Song For You,Leon Russell
Hotel Chelsea,0,[],132985,Chelsea Hotel No. 2,Rufus Wainwright
None,0,[],0,Lover Lover Lover,Leonard Cohen
Famous Blue Raincoat,1971,['Folk music'],36411,Famous Blue Raincoat,Leonard Cohen
None,0,[],0,Who by Fire,Leonard Cohen
None,0,[],0,You Are My Love,Liverpool Express
Perfect Day (Lou Reed song),1972,"['Baroque pop', 'Art pop', 'Pop rock']",69474,Perfect Day,Lou Reed
Walk on the Wild Side (Lou Reed song),1972,['Glam rock'],99154,Walk On the Wild Side,Lou Reed
Satellite of Love,1973,[],20969,Satellite of Love,Lou Reed
Free Bird,1973,"['Southern rock', 'Hard rock']",155878,Free Bird,Lynyrd Skynyrd
Sweet Home Alabama,1974,"['Country rock', 'Southern rock']",292884,Sweet Home Alabama,Lynyrd Skynyrd
My Girl (Madness song),1979,"['Ska', '2 Tone Records']",11402,My Girl,Madness
One Step Beyond...,0,"['Ska', 'Pop music', '2 Tone (music genre)']",27402,One Step Beyond,Madness
Night Boat to Cairo,1979,"['Ska', 'Pop music', '2 Tone (music genre)']",8495,Night Boat To Cairo,Madness
L'oiseau et l'enfant,0,[],7740,L'oiseau et l'enfant,Marie Myriam
Reflections of My Life,1969,['Psychedelic pop'],33200,Reflections Of My Life - Original recording,Marmalade
Mercy Mercy Me (The Ecology),1971,['Soul music'],33913,Mercy Mercy Me (The Ecology),Marvin Gaye
Let's Get It On,0,"['Soul music', 'Funk']",68904,Let's Get It On,Marvin Gaye
What's Going On (Marvin Gaye album),0,['Soul music'],132514,What's Going On,Marvin Gaye
I Want You (Marvin Gaye album),0,"['Soul music', 'Funk', 'Quiet storm', 'Jazz-funk']",41164,I Want You,Marvin Gaye
As the Years Go By,1970,['Progressive rock'],2590,As The Years Go By,Mashmakhan
Woodstock (song),1970,['Folk jazz'],51448,Woodstock,Matthews' Southern Comfort
Chase the Devil,1976,['Reggae'],14650,Chase The Devil,Max Romeo
Ain't No Stoppin' Us Now,1979,"['Funk', 'Disco']",17018,Ain't No Stoppin' Us Now,McFadden & Whitehead
Don't Stop 'Til You Get Enough,1979,"['Disco', 'Funk']",62575,Don't Stop 'Til You Get Enough - Single Version,Michael Jackson
Ben (Michael Jackson album),0,"['Rhythm and blues', 'Soul music']",63359,Ben - Single Version,Michael Jackson
Rock with You,1979,"['Disco', 'Contemporary R&B']",49728,Rock with You - Single Version,Michael Jackson
Off the Wall,0,"['Disco', 'Pop music', 'Funk music', 'R&B']",244918,Off the Wall,Michael Jackson
Let's All Chant,1977,['Disco'],11005,Let's All Chant,The Michael Zager Band
Chirpy Chirpy Cheep Cheep,1970,[],29527,Chirpy Chirpy Cheep Cheep,Middle Of The Road
None,0,[],0,Laisse moi t'aimer,Mike Brant
None,0,[],0,Mais dans la lumière,Mike Brant
Lovin' You,1975,"['Soul music', 'Pop music']",73963,Lovin' You,Minnie Riperton
Eres tú,1973,['Canción melódica'],23320,Eres Tú,Mocedades
Always Look on the Bright Side of Life,1991,['Comedy music'],86358,Always Look On The Bright Side Of Life,Monty Python
Airport (song),1978,"['Power pop', 'New wave music']",5268,Airport,The Motors
All the Young Dudes,1972,['Glam rock'],100782,All the Young Dudes,Mott The Hoople
In the Summertime,1970,['Skiffle'],59782,In the Summertime,Mungo Jerry
Love Hurts,1961,['Country music'],99006,Love Hurts - Single Edit,Nazareth
Old Man (song),1972,"['Folk rock', 'Country rock']",37209,Old Man - 2009 Remaster,Neil Young
Heart of Gold (Neil Young song),1972,"['Folk rock', 'Country rock']",43922,Heart of Gold,Neil Young
Only Love Can Break Your Heart,1970,['Folk rock'],21484,Only Love Can Break Your Heart,Neil Young
Like a Hurricane (Neil Young song),1977,['Rock music'],14421,Like a Hurricane - 2003 Remaster,Neil Young
"My My, Hey Hey (Out of the Blue)",1979,['Acoustic music'],16640,"My My, Hey Hey (Out of the Blue) - 2016 Remaster",Neil Young
The Needle and the Damage Done,1972,"['Folk music', 'Rock music']",22208,The Needle and the Damage Done,Neil Young
Northern Sky,1971,['Folk music'],7766,Northern Sky,Nick Drake
For the Love of Money,1974,"['R&B', 'Philadelphia soul', 'Funk']",23527,For the Love of Money,The O'Jays
Love Train,1972,"['Rhythm and blues', 'Philadelphia soul', 'Disco']",28950,Love Train,The O'Jays
Hopelessly Devoted to You,1978,[],25629,Hopelessly Devoted To You - From “Grease”,Olivia Newton-John
D.I.S.C.O.,1979,['Disco'],14231,D.I.S.C.O.,N-Trance
I Think I Love You,1970,"['Pop music', 'Baroque pop']",24081,I Think I Love You,The Partridge Family
Born to Be Alive,0,[],26098,Born to Be Alive - Original Mix 79,Patrick Hernandez
Dancing Barefoot,1979,[],11073,Dancing Barefoot,Patti Smith
Gloria (Them song),1964,"['Garage rock', 'British rhythm and blues']",117641,Gloria,Patti Smith
Because the Night,1978,['New wave music'],132111,Because the Night,Patti Smith
Mull of Kintyre (song),1977,['Scottish folk music'],77914,Mull Of Kintyre,Wings
Silly Love Songs,1976,"['Disco', 'Funk']",37880,Silly Love Songs,Wings
My Love (Paul McCartney and Wings song),1973,['Lounge music'],23260,My Love,Wings
Jet (song),1974,['Power pop'],42069,Jet,Paul McCartney
Band on the Run (song),1974,"['Folk rock', 'Funk rock']",43325,Band On The Run,Paul McCartney
None,0,[],0,Maybe I'm Amazed,Twinkle Twinkle Little Rock Star
Live and Let Die (song),1973,['Symphonic rock'],111005,Live And Let Die,Paul McCartney
Still Crazy After All These Years,0,"['Folk rock', 'Pop rock', 'Soul music']",83673,Still Crazy After All These Years,Paul Simon
Me and Julio Down by the Schoolyard,1972,"['Pop rock', 'Folk rock']",79153,Me and Julio Down by the Schoolyard,Paul Simon
50 Ways to Leave Your Lover,1975,"['Soft rock', 'Folk rock']",39903,50 Ways to Leave Your Lover,Paul Simon
Slip Slidin' Away,1977,"['Soft rock', 'Folk rock', 'Country pop']",13162,Slip Slidin' Away,Paul Simon
Mother and Child Reunion,1972,"['Pop rock', 'Reggae']",24133,Mother and Child Reunion,Paul Simon
Show Me the Way (Peter Frampton song),1975,['Rock music'],25116,Show Me The Way,Peter Frampton
"Baby, I Love Your Way",1975,['Soft rock'],83982,"Baby, I Love Your Way",Peter Frampton
Solsbury Hill (song),United,"['Folk pop', 'Progressive pop']",102769,Solsbury Hill,Peter Gabriel
Magic (Pilot song),1974,"['Pop rock', 'Power pop', 'Glam rock']",52557,Magic,Pilot
Have a Cigar,1975,"['Progressive rock', 'Blues rock']",50573,Have a Cigar,Pink Floyd
Wish You Were Here (Pink Floyd album),0,"['Progressive rock', 'Art rock', 'Experimental rock']",366790,Wish You Were Here,Pink Floyd
Money (Pink Floyd song),1973,"['Progressive rock', 'Psychedelic rock', 'Experimental rock', 'Blues rock', 'Hard rock']",61713,Money,Pink Floyd
Us and Them (song),1974,"['Progressive rock', 'Jazz fusion']",38667,Us and Them,Pink Floyd
Time (Pink Floyd song),1974,['Progressive rock'],50472,Time,Pink Floyd
None,0,[],0,Shine on You Crazy Diamond,Pink Floyd Redux
The Great Gig in the Sky,1973,['Progressive rock'],72169,The Great Gig in the Sky,Pink Floyd
Roxanne (song),1978,"['Reggae rock', 'New wave music']",76510,Roxanne,The Police
So Lonely,1978,"['Reggae rock', 'New wave music']",15021,So Lonely,The Police
None,0,[],0,Message In A Bottle,The Police
Walking on the Moon,1979,"['Reggae rock', 'New wave music']",23999,Walking On The Moon,The Police
Can't Stand Losing You,1978,"['Reggae rock', 'New wave music']",15962,Can't Stand Losing You,The Police
Brass in Pocket,1979,['New wave music'],24204,Brass in Pocket,Pretenders
I Wanna Be Your Lover,1979,"['Funk', 'Post-disco']",22554,I Wanna Be Your Lover,Prince
Bohemian Rhapsody,1975,"['Progressive rock', 'Hard rock', 'Progressive pop']",1970738,Bohemian Rhapsody - Remastered 2011,Queen
Bicycle Race,1978,['Rock music'],373049,Bicycle Race - Remastered 2011,Queen
Killer Queen,1974,"['Art pop', 'Glam rock', 'Power pop']",244957,Killer Queen,Queen
Fat Bottomed Girls,1978,"['Glam rock', 'Hard rock']",184127,Fat Bottomed Girls - 2011 Remaster,Queen
We Are the Champions,1977,['Arena rock'],296916,We Are The Champions - Remastered 2011,Queen
You're My Best Friend (Queen song),1976,['Pop music'],135245,You're My Best Friend - Remastered 2011,Queen
Love of My Life (Queen song),1975,['Pop music'],284504,Love Of My Life - Live,Queen
We Will Rock You,1977,['Arena rock'],359196,We Will Rock You - Remastered,Queen
Somebody to Love (Queen song),1976,['Rock music'],170824,Somebody To Love - Remastered 2011,Queen
Don't Stop Me Now,1979,"['Power pop', 'Pop rock']",263309,Don't Stop Me Now - Remastered,Queen
Black Betty,1939,['Work song'],200998,Black Betty,Ram Jam
I Wanna Be Sedated,1978,['Punk rock'],31169,I Wanna Be Sedated - 2002 Remaster,Ramones
Blitzkrieg Bop,1976,"['Punk rock', 'Pop punk']",69904,Blitzkrieg Bop,Ramones
Short People,1977,"['Comedy rock', 'Pop rock']",62920,Short People,Randy Newman
Get Ready (Rare Earth album),0,"['Psychedelic soul', 'Blues rock']",15694,Get Ready - Single Version,Rare Earth
We're All Alone,1976,[],24680,We're All Alone,Rita Coolidge
None,0,[],0,Sea Song,Robert Wyatt
The First Time Ever I Saw Your Face,1972,"['Soul music', 'Vocal jazz']",87328,The First Time Ever I Saw Your Face,Roberta Flack
Killing Me Softly with His Song,1973,['Soul music'],405106,Killing Me Softly with His Song,Roberta Flack
None,0,[],0,The Time Warp,Reeve Carney
You're in My Heart (The Final Acclaim),1977,['Pop rock'],15268,You're in My Heart (The Final Acclaim),Rod Stewart
Da Ya Think I'm Sexy?,1978,['Disco'],69169,Da Ya Think I'm Sexy?,Rod Stewart
Sailing (Sutherland Brothers song),1972,[],24603,Sailing,Rod Stewart
I Don't Want to Talk About It,1971,['Country rock'],51813,I Don't Want to Talk About It - 1989 Version,Rod Stewart
Maggie May,1971,['Folk rock'],72614,Maggie May,Rod Stewart
In a Broken Dream,1970,['Rock music'],12005,In a Broken Dream,Rod Stewart
Wild Horses (The Rolling Stones song),1971,['Country rock'],103076,Wild Horses,The Rolling Stones
Brown Sugar (The Rolling Stones song),1971,"['Hard rock', 'Rock and roll', 'Blues rock', 'Boogie rock']",80461,Brown Sugar - Remastered,The Rolling Stones
Miss You (The Rolling Stones song),1978,"['Disco', 'Soul music']",43137,Miss You - Remastered,The Rolling Stones
Angie (song),1973,"['Soft rock', 'Glam rock']",55752,Angie,The Rolling Stones
Wishing on a Star,1978,"['Soul music', 'Rhythm and blues']",24112,Wishing on a Star,Rose Royce
None,0,[],0,Love Don't Live Here Anymore,Joe Cocker
None,0,[],0,I Am The Black Gold Of The Sun,Rotary Connection
Love Is the Drug,1975,"['Progressive pop', 'Funk']",25763,Love Is The Drug,Roxy Music
Everybody Loves the Sunshine,0,"['Rhythm and blues', 'Soul music', 'Jazz']",13800,Everybody Loves The Sunshine,Roy Ayers Ubiquity
Escape (The Piña Colada Song),1979,['Soft rock'],140322,Escape (The Pina Colada Song),Rupert Holmes
Black Magic Woman,1968,['Blues rock'],111196,Black Magic Woman,Santana
Oye Como Va,0,[],79551,Oye Como Va,Santana
Histoire de Melody Nelson,0,"['Rock music', 'Avant-funk']",21976,Ballade de Melody Nelson,Serge Gainsbourg
Anarchy in the U.K.,1976,"['Punk rock', 'Anarcho-punk']",42389,Anarchy in the U.K.,Sex Pistols
Diamonds Are Forever (soundtrack),0,[],13666,Diamonds Are Forever,Shirley Bassey
El Cóndor Pasa (song),0,[],66443,El Condor Pasa (If I Could),Simon & Garfunkel
The Boxer,1969,['Folk rock'],74521,The Boxer,Simon & Garfunkel
Cecilia (Simon & Garfunkel song),1970,"['Pop rock', 'Folk rock']",32649,Cecilia,Simon & Garfunkel
Bridge over Troubled Water,0,['Folk rock'],101925,Bridge Over Troubled Water,Simon & Garfunkel
We Are Family (song),1979,"['Rhythm and blues', 'Disco', 'Soul music']",47837,We Are Family,Sister Sledge
Lost in Music,1979,"['Disco', 'Funk', 'Soul music', 'R&B']",8950,Lost in Music,Sister Sledge
Sugar Man (song),1970,[],12008,Sugar Man,Rodríguez
Family Affair (Sly and the Family Stone song),1971,['Funk'],14011,Family Affair,Sly & The Family Stone
The Tears of a Clown,1970,['Soul music'],34087,The Tears Of A Clown,Smokey Robinson & The Miracles
Living Next Door to Alice,1972,"['Pop music', 'Folk music']",75186,Living Next Door to Alice,Smokie
I'll Meet You at Midnight,1976,[],5172,I'll Meet You at Midnight,Smokie
Driver's Seat,1978,['New wave music'],18054,Driver's Seat,Sniff 'n' The Tears
A Message to You Rudy,1979,"['Rocksteady', 'Ska', '2 Tone (music genre)']",1020,A Message to You Rudy - 2002 Remaster,The Specials
Stuck in the Middle with You,1973,"['Folk rock', 'Soft rock']",107626,Stuck In The Middle With You,Stealers Wheel
Peg (song),1977,"['Yacht rock', 'Jazz fusion']",38139,Peg,Steely Dan
Do It Again (Steely Dan song),1972,"['Soft rock', 'Funk rock']",41932,Do It Again,Steely Dan
Make Me Smile (Come Up and See Me),1975,['Glam rock'],30689,Make Me Smile (Come up and See Me),Steve Harley
None,0,[],0,Serenade,Steve Miller Band
The Joker (Steve Miller Band song),1973,"['Rock music', 'Blues rock', 'Southern rock']",50633,The Joker,Steve Miller Band
Fly Like an Eagle (album),0,"['Rock music', 'Psychedelic rock', 'Space rock', 'Blues']",39879,Fly Like An Eagle,Steve Miller Band
Isn't She Lovely,1976,['Soul music'],64598,Isn't She Lovely,Stevie Wonder
You Are the Sunshine of My Life,1973,"['Soul music', 'Pop music']",36003,You Are The Sunshine Of My Life,Stevie Wonder
Living for the City,1973,['Soul music'],19840,Living For The City,Stevie Wonder
Don't You Worry 'bout a Thing,1974,['Latin soul'],43765,Don't You Worry 'Bout A Thing,Stevie Wonder
"Signed, Sealed, Delivered I'm Yours",1970,['Soul music'],37967,"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder
Sir Duke,1977,"['Funk', 'Rhythm and blues', 'Pop music']",40468,Sir Duke,Stevie Wonder
Sir Duke,1977,"['Funk', 'Rhythm and blues', 'Pop music']",40468,Sir Duke,Stevie Wonder
Faith (Stevie Wonder song),2016,[],27238,As,Stevie Wonder
Another Star,1977,"['Rhythm and blues', 'Disco', 'Jazz']",8966,Another Star,Stevie Wonder
Pastime Paradise,1976,"['Soul music', 'Pop music']",36607,Pastime Paradise,Stevie Wonder
Higher Ground (Stevie Wonder song),1973,['Funk'],42501,Higher Ground,Stevie Wonder
No More Heroes (The Stranglers song),1977,[],10333,No More Heroes,The Stranglers
Rapper's Delight,1979,"['Old-school hip hop', 'Disco', 'Funk']",134352,Rapper's Delight,The Sugarhill Gang
The Logical Song,1979,['Progressive pop'],53211,The Logical Song,Supertramp
Breakfast in America,0,"['Pop music', 'Art rock', 'Soft rock']",132062,Breakfast In America,Supertramp
The Ballroom Blitz,1973,"['Glam rock', 'Hard rock']",82976,The Ballroom Blitz,Sweet
You Make Me Feel (Mighty Real),1978,"['Disco music', 'Hi-NRG']",24547,You Make Me Feel (Mighty Real),Sylvester
Children of the Revolution (song),1972,['Glam rock'],21490,Children of the Revolution - 2012 Remaster,T. Rex
Get It On (T. Rex song),1971,"['Glam rock', 'Boogie rock']",52167,Get It On,T. Rex
None,0,[],0,Ding-A-Dong,Teach In
Marquee Moon,0,"['Post-punk', 'Rock music', 'Art punk']",59283,Marquee Moon,Television
Papa Was a Rollin' Stone,1972,[],72177,Papa Was A Rolling Stone,The Temptations
Seasons in the Sun,1961,['Chanson'],119382,Seasons in the Sun,Terry Jacks
Don't Leave Me This Way,1975,"['Disco', 'Soul music', 'Rhythm and blues']",77600,Don't Leave Me This Way,Thelma Houston
Whiskey in the Jar,0,[],170914,Whiskey In The Jar,Thin Lizzy
The Boys Are Back in Town,1976,"['Hard rock', 'Blues rock']",69807,The Boys Are Back In Town,Thin Lizzy
I Love to Love (But My Baby Loves to Dance),1986,"['Disco', 'Pop music']",19675,I Love to Love,Tina Charles
None,0,[],0,I Hope That I Don't Fall In Love With You,Tom Waits
Hold the Line,1978,"['Hard rock', 'Yacht rock']",66183,Hold the Line,Toto
Disco Inferno,1976,"['Disco', 'Funk']",45630,Disco Inferno,The Trammps
Teenage Kicks,0,"['Punk rock', 'Pop punk', 'Power pop']",25427,Teenage Kicks,The Undertones
Ain't Talkin' 'bout Love,1978,"['Hard rock', 'Heavy metal music']",16670,Ain't Talkin' 'Bout Love,Van Halen
Moondance (Van Morrison song),0,"['Soft rock', 'Jazz rock']",18594,Moondance,Van Morrison
Sweet Jane,1973,['Proto-punk'],37376,Sweet Jane,The Velvet Underground
In the Navy,1979,['Disco'],28340,In the Navy - Original Version 1979,Village People
Y.M.C.A. (song),1978,['Disco'],256016,Y.M.C.A.,Village People
Low Rider,1975,"['Funk', 'Latin soul']",61647,Low Rider,War
None,0,[],0,When You Are a King,White Plains
Baba O'Riley,1971,['Hard rock'],173725,Baba O'Riley,The Who
Behind Blue Eyes,1971,"['Hard rock', 'Folk rock']",87648,Behind Blue Eyes,The Who
Play That Funky Music,1976,['Funk rock'],93311,Play That Funky Music,Wild Cherry
None,0,[],0,Blood Is Thicker Than Water,William DeVaughn
Making Plans for Nigel,1979,[],54533,Making Plans For Nigel,XTC
If I Can't Have You (Bee Gees song),1977,['Disco'],16433,If I Can't Have You,Yvonne Elliman
