result,year,genres,views,spotify_name,spotify_artist
(Don't Fear) The Reaper,1976,"['Hard rock', 'Psychedelic rock', 'Soft rock']",146297,(Don't Fear) The Reaper,Blue Öyster Cult
None,0,[],0,Don't Be Fooled by the Name,Blue Swede
Knockin' on Heaven's Door,1973,"['Folk rock', 'Gospel music']",189606,Knockin' On Heaven's Door - Remastered,Bob Dylan
Forever Young (Bob Dylan song),1974,['Rock music'],61507,Forever Young - Slow Version,Bob Dylan
Hurricane (Bob Dylan song),1975,"['Folk rock', 'Protest song']",99568,Hurricane,Bob Dylan
Sara Dylan,0,[],227281,Sara,Bob Dylan
None,0,[],0,One More Cup of Coffee,Bob Dylan
Is This Love (Bob Marley & The Wailers song),1978,['Reggae'],23719,Is This Love,Bob Marley & The Wailers
"No Woman, No Cry",1975,['Reggae'],100773,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
Jamming (song),1977,['Reggae'],14754,Jamming,Bob Marley & The Wailers
One Love/People Get Ready,1977,['Roots reggae'],28748,One Love,Bob Marley & The Wailers
Waiting in Vain,1977,['Reggae'],14285,Waiting In Vain,Bob Marley & The Wailers
"Get Up, Stand Up",1973,['Reggae'],21497,"Get Up, Stand Up",Bob Marley & The Wailers
I Shot the Sheriff,1973,['Reggae'],100582,I Shot The Sheriff,The Wailers
Across 110th Street,0,[],35607,Across 110th Street,Bobby Womack
Ma Baker,1977,['Disco'],38352,Ma Baker,Boney M.
Rivers of Babylon,1978,"['Disco', 'Rocksteady', 'Reggae']",76779,Rivers of Babylon,Boney M.
Boney M.,0,[],464788,Sunny,Boney M.
Daddy Cool (Boney M. song),1976,['Disco'],43397,Daddy Cool,Boney M.
I Don't Like Mondays,1979,[],189694,I Don't Like Mondays,The Boomtown Rats
More Than a Feeling,1976,"['Arena rock', 'Hard rock']",84780,More Than a Feeling,Boston
Bread,0,[],315555,If,Bread
None,0,[],0,Save Your Kisses for Me,Brotherman Of Man
Born to Run (Bruce Springsteen song),1975,"['Rock music', 'Power pop']",27100,Born to Run,Bruce Springsteen
